RUC,company,total
YA5596335,FEDERICA  MCLAWS,12
280544-1-407365,BERING RENT A TRUCK & BUS CORP,12
46297-104-303190,PREMIER ELECTRIC JAPAN CORP,12
4-116-1298,QALEJANDRA YANGUEZ BATISTA/COCINAS Y MAS,12
133885907,MOHAMED ABOU/ MULTIPLAST PANAMA,12
8-781-1529,BETZAIDA MARIA MARIN RIVAS,12
183072477,GERSON OSIEL ESCOBAR OVANDO,12
708-53-120389,DIMAR,12
57851-22-340008,SERVICIOS AMBIENTALES DE CHIRIQUI S A,12
1122242-1-564722,BOQUETE OUTDOOR ADVENTURES S A,12
3-73-532,YVONNE DAYAN/DISTRIBUIDORA SD,12
E8-110298,GINO KARIN GHARIBE GRADISAR,12
2636065-1-838815,STAY BEAUTYFULL PANAMA S.A.,12
8-415-548,GISELLE ELENA BORRELL DE YOUNG,12
C02438579,JULIO CESAR CASTRELLON FALCON,12
155621404-2-2016,BARU DEVELOPMENT S.A.,12
E-8-106795,INVERSIONES HMNOS ORTEGA/ROBINSON CARDENAS,12
AN684245,GLORIA PITTA,12
8-748-1674,CESAR WONG ZHANG,12
8-491-716,NEDELKA TORRENTE/AGENCY CREATIVE &,12
8-181-127,PORTENIO RODRIGUEZ  SALAZAR,12
8-836-298,DAVID RAUL IBA?EZ GONZALEZ,12
PE129889,ALBA PATRICIA GRANADOS SANCHEZ,12
8-476-589,LUIS MOSQUERA,12
6472019,AIDA HUAMAN QUISPE,12
7-704-2041,"ABNUAR CASTILLO/PAINT SHORP, S.S",12
PE-11-961,CHRISTOPHER LYMA YOUNG,12
7-700-1714,fire rescue and health safety,12
155636758-2-2016,BEYOND ADVENTURE TOURS SA,12
8-433-243,ANETH DE DEVIS,12
6-81-90,ISAIAS NORIEGA  ARJONA,12
155665829-2-2018,"MATECORP, S.A.",12
TR2589258,DAIKI NOGAMI,12
544301165,CHARLES SPEER,12
65043-1-842705,"SERVICIOS SIENA, SA",12
1185893-1-579189,CONSORCA PANAMA  S A,12
E8-78-728,WEI ZHAO QIU / FERRETERIA Y BLOQUERA PASO CANOAS,12
22082-18-197779,TALLER DE SOLDADURA HERNANDEZ S A,12
155590306-2-2014,CORPORACI,12
155628583-2-2016,"CASA PROVEEDORA JIRO, S.A.",12
11226-2-113284,IND ALIMENTICIAS DORAZ S A,12
8-835-2186,YETZUGELIS MORENO,12
961694-1-528057,CASTRO INTERNATIONAL FIREWORKS  S A,12
155668637-2-2018,M & T CORP,12
155600481-2-2015,"DS PANAMA, S.A.",12
11724-50-117267,"THE OXFORD SCHOOL, S.A",12
155633412-2-2016,NOVATECH DENTAL PANAMA S.A.,12
155676212-2-2019,"`DISPLAY WORLD, S.A.",12
N-20-278,SHUN HAA TSE CHOC / MULTI COMERCIAL A.C.K.,12
4-749-1428,DAYANA RIOS,12
1971746-1-735513,GERENCIA CONSTRUCTIVA S A,12
155614490-2-2015,"SAMDICA PANAMA, SA",12
2342817-1-796565,CENTROAMERICA SIN FRONTERAS,12
8-871-2477,VANIA PAN LEE / CASA CELULAR JIN,12
1972758-1-735723,EURO IMPORT GLOBAL  INC,12
4-159-227,MEYBI URE,12
E-8-59557,XIU ZHEN ZHANG DE CAO,12
1122885-1-25741,MINISTERIO INTERN. EBEN EZER,12
1495142-1-646187,MATERIALES  LA CONCEPCION S A,12
STANDNO511,SEBA KIMYA,12
155671968-2-2018,GREEN BOX WM,12
7-92-464,LUIS ALBERTO TEJADA,12
1946729-1-731048,GPS PARTS AND SUPPLIERS DE PANAMA  S A,12
8-1121-2166,JAVIER ESTEBAN LOPEZ VELASQUEZ,12
887508-1-512234,ADRIATIC AGENCIA NAVIERA  S A,12
4-147-24825,EDGADO ARIEL CEDE?O,12
10-10-82,SILVIA VDA DE BERRU,12
155588209-2-2014,LINVESTOR GROUP CORP,12
EMB.DELOSESTADOSUNODOS,EMBAJADA DE LOS ESTADOS UNIDOS DE NORTE AMERICA,12
48428-133-310745,BLANQUI CORP INC,12
1482546-1-643942,ITS INFOCOMUNICACION PANAMA  S A,12
761-391-16015,SUCRE ARIAS Y REYES,12
2-75-221,AQUILES MARTINEZ RODRIGUEZ,12
53249-101-327156,CALZADO ISTME,12
3-711-1720,SANDRA BARCENAS / INV.0214,12
155608850-2-2015,PROACTIVE POWER S.A.,12
8-726-880,DISTRIBUIDORA DE FLORES,12
2476418-1-815570,TAECA,12
2350377-1-797631,LOVE INTERNATIONAL CORP,12
2473-100-42128,LEON IMPORT S A,12
4-100-373,JULIO CESAR RIVERA,12
E-8-60759,FERREMATERIALES S.A.,12
7-92-464,LUIS TEJADA (OFICOMER),12
2409434-1-806118,ACH & BROS CORPORATION INC,12
E-8-110051,OLIVER ALEXANDER MEIXNER,12
1031860-1-542984,INTERCOCINAS  S A,12
8-788-1409,NELLIE MORENO,12
1-64-10,COOPERATIVA DE AHORRO Y CR SAN ANTONIO R L,12
AAE211584,FRANCISCO BALTAR VAZQUEZ,12
155596914-2-2015,"GRUPO INTERNACIONAL CELLOO, S.A.",12
E-8-112155,CLAUDIA ESCOBAR / EVER GREEN GARDENS,12
1886771-1-720181,REPRESENTACIONES NACIONAL BOOK  S A,12
8-417-530,JOSE HERNANDEZ DOMINGUEZ,12
PA0316438,CARLA KIRKLAND,12
155680096-2-2019,"ALIMUNDO, S.A.",12
2425511-1-808487,GENERAL LIFE PANAMA S.A.,12
155624705-2-2016,EUROPA LOGIST.& BUSINESS CORP,12
8-914-106,"AUTO REPUESTO LA GRAN MURALLA, S.A.",12
155628268-2-2016,"AGROINDUSTRIAS GIA, S.A.",12
8-772-2158,JORGE SANCHEZ,12
4-800-941,DISTRIBUIDORA AL QUDS,12
635170-1-457085,SELECTA INVESTMENTS S A,12
548541654,RICHARD STUART SNYDER,12
E-8-85627,EMMA RIVERA,12
2660134-1-842120,IJFA INC,12
STAND#A507,QINDAO EVERBRIGHT MACHINERY,12
8-227-48,ASESORIA TECNICA DE MINERIA/ABEL RODRIGUEZ,12
9-726-859,YURINA RODRIGUEZ SANCHEZ,12
491673031,ANTHONU ELSWICK,12
172748216,MAURO ANTONIO LOPEZ PUMAY,12
B00742904,VICTOR ERNESTO CHICAS ARIAS,12
N-19-116,MARIA ELENA GOMEZ CABEZAS,12
60761-82-347620,INVERSIONES ATACAMA S A,12
155633429-2-2016,"IMPORT & EXPORT WJW, S.A.",12
155644809-2-2017,"CHIVO PERRO, S.A.",12
8-929-909,WILLIAM GU QIU /ALMACEN EL UNIVERSAL,12
9-60-876,JULIO  SPIEGEL R,12
2636065-1-8838815,"STAY BEAUTYFULL PANAMA, S.A.",12
N-15-420,MICHAEL JAAR,12
488845427,BARBARA VONNAHMEN MOORE,12
N-211-469,HISHAM KHDUR / NUR INTL,12
9-713-1785,LORENA OTERO PINO,12
58507-21-341926,SAOR INTERNACIONAL S.A,12
515462750,LAPIN BRAD LEWIS,12
E-8-62062,JI CHENG HAN,12
251-742-6337,JARAJA S A,12
4-134-2736,SANTO FILITO VEGA MONTENEGRO,12
8-430-538,LISBETH MOJICA,12
AS122298,MARTIN ELIAS HENAO CRUZ,12
9-173-255,GUILLERMO E DOMINGUEZ,12
56094-29-335136,AMBITEC S.A,12
155601739-2-2015,FITNESS FACTORY & SERVICES INC,12
256902-1-404018,GOULAND CORP,12
E-8-83619,OREN ASHOURI,12
1820993-1-708952,INVERSIONES G H C S A,12
S/N,PROGRAMA MUNDIAL DE ALIMENTO,12
155673463-2-2018,MEGA CARNE SUPERMERCADOS S.A.,12
155650602-2-2017,IMPORTA & EXPORTA FORTUNE S.A.,12
155593522-2-2015,DICOMA S.A.,12
32476-40-247875,ARCOS DORADOS PANAMA  S A,12
2497215-1-818427,"UTOPIA, SA",12
60632-2-347314,PRODUCTOS Y PROCESOS INDUSTRIALES S A,12
2549015-1-826099,"CAUCHOS RENOVABLES, SA",12
1891608-1-721019,MOTTA ASOCIADOS S A,12
155610488-2-2015,DISTRIBUIDORA RIMET DE PANAMA,12
24611-23-213687,FULSERVICE INTERNATIONAL INC,12
1860607-1-715274,MULTI SERVICIOS EFICIENTES  S A,12
155601704-2-2015,"LAB CENTER, SA",12
65673-2-361930,SERVILIM S A,12
STANDNO.268,"HEALTHTODAY CO., LTD",12
8-314-361,GASPAR HUMBERTO GOUGH,12
564513-1-445472,NEW YORK FASHION S A,12
347285724,PEDRO BARRERA,12
8-764-23,DENISE NICOLE BASSAN ACRICH,12
644-570-7932,PROMOCIONES MEDICAS S A,12
10033-30-102806,KERAMOS S A,12
1822337-1-709207,VENTAS EL INTERIORANO  S  A,12
2488111-1-817250,"JINXU SHOP , S.A.",12
PE-9-1161,MING LEUNG LEON YIP (AMP. ALAMACEN FIESTA),12
1520739-1-651570,INVERSIONES GRUPO ES ROD  S A,12
155666562-2-2018,"KEYS CONSULTING GROUP, S.A.",12
155654634-2-2017,EL PERICO MA?OSO,12
4-700-1074,WILLIAM GONZALEZ,12
155588102-2-2014,LC SECURITY SYSTEMS S.A.,12
AN731278,FEDERICO MESA,12
7-27-287,PABLO GONZALEZ,12
2621804-1-836807,VINUM S.A,12
C01419429,ZAID ALKILANI SIAFADDEEN / PANANOOR,12
3-84-314,VIDAL VASQUEZ,12
689603-1-466139,GENERADORA PEDREGALITO  S A,12
1640390-1-673641,FERRARI CRANE S A,12
N-19-805,LUZ MARINA YUSTY,12
155627966-2-2016,"INVERPANAMA COL, SA",12
628679-1-456045,ALIANZA TECNICA Y ELECTRIC  S A,12
2652826-1-841054,"SMARTHOME PANAMA, S.A.",12
155613581-2-2015,CONTRUCCIONES MODULARES RGL S.A.,12
8-799-505,EMILY LIAO,12
E-8-76647,ULISES PEREYRA,12
E-8-10238,DISTRIBUIDORA CRISTAL PANASUR,12
541286-1-441726,MARULANDA E HIJOS S A,12
15944-38-152503,SERVICIOS TECNICOS ORTEGA S A,12
8-212-700,IVAN BLASSER,12
155609265-2-2015,PROAGRO DE CENTRO AMÉRICA,12
155661726-2-2018,UTOPIA INCORPORATED GROUP S.A,12
N-18-609,URI DAHAN ATTIAS,12
100222816,CESAR CASTA?EDA CACHIGUANGO,12
155603260-2-2015,"HOME RUN GROUP, SA",12
N-15-931,ALBERTO MOISE DAYAN,12
2-715-1502,XENIA ARQUI,12
114225203,NOEL JOSE REYES HERNANDEZ,12
8-754-1636,ANYA  JIMENEZ,12
2600069-1-833752,AQUALINDA PANAMA S A,12
3-89-2032,LUZ DEL SOL NATURAL,12
N-15-369,CHENG  KING LUNG,12
STAND#D242,NANJING AUOTECAR NEW ENERGY,12
155662556-2-2018,ULTRACHEM S.A,12
4-753-1004,EDGAR ISAAC GONZALES ROVIRA/LANYES CORPORATION,12
4-200-141,NAGALIS DE SALOMON,12
306349248,CINDY VANNESA LOPEZ,12
1-34-41,TIBURCIO GUERRA PALACIO,12
8-735-987,ALEJANDRA DA SILVEIRA,12
1138319-1-568963,CHEAPER  S A,12
TR8875344,YOHEY YAGUCHI,12
199901449,CRISTOBAL GARCIA REYES,12
TB506129,CARMEN SAMAROO OTT,12
E-8-109474,GARCIA HERNAN PERCY,12
E-8-96133,HUMBERTO AUGUSTO CASTRO FERNANDEZ,12
AR195257,FANNY LORENA VIVEROS,12
3-90-1434,JAVIER ANTONIO CRIMALDO -DISTRIBUIDORA G&G,12
240718892,JUAN A CUATALE,12
8-470-897,GABRIEL RODRIGUEZ(HERITAGE PLUS),12
8-370-77,JOSE MARIA PEREZ RAMOS,12
8-703-1242,MIDDLETON SERVICES / ARTURO MIDDLETON DE LEON,12
155588190-2-2014,"PANAMAKISS, S.A.",12
2003491-1-740636,FOR AUTOPANAMA S A,12
155648244-2-2017,CA SPORTS PANAMA,12
1365512-1-620730,AGROGANADERA LA ALBINA  S  A,12
E-8-92906,ZIPING LI,12
ET874290,OLEKSANDR ZIBERMAN,12
6-712-2257,ANTHONY SAEZ,12
n-19-1912,WEST HOUSE,12
E-8-138336,SR HERMAN GEBAUER,12
1823384-1-709385,AVANZA TECHNOLOGIES (AVANZATEC)  S A,12
155629515-2-2016,PYCORP GROUP S.A.,12
2612961-1-835627,"ARTE GLOBOS PUBLICIDAD, SA",12
7753-108-83601,MON S A,12
8-718-2323,EDILBERTO CARLOS ASPRILLA CORDOBA,12
1561344-1-659082,GLOBAL COMMERCIAL PANAMA  S A,12
1049515-1-547194,CASA  ROJAS   S A,12
1833196-1-710760,PANAMA CRANES COM  S A,12
E-8-56170,GEN PIO CHING,12
8-423-641,ISRAEL SEVILLA,12
155596914-1-2015,CELLOO,12
155603965-2-2015,"INVERSIONES GONZALEZ GODOY, SA",12
E-8-94622,XINYOU HOU,12
2198637-1-772921,SUPLIDORA Y PARTES INDUST S.A.,12
STANDNO512-513,SAPRO A.S.,12
155662548-2-2018,"AQUATICS SHOP, S.A.",12
155620615-2-2016,QUEST SOFTWARE (PANAMA) S.A,12
155676378-2-2019,FLOREAL PANAMA S.A.,12
155640516-2-2016,PACIFIC FURNITURE CORPORATION,12
3378-2-12492,FUNDACION PRO BIBLIOTECA NACIONAL,12
8-788-1822,JUAN CARLOS MORENO AGUILA,12
155613548-2-2015,"THOR PROYECTOS, S.A.",12
1724997-1-691178,EPCOM PANAMA INC,12
2450211-1-812136,GO CAR SERVICES S.A.,12
443101979,JAMES DEAN MOODY,12
155614263-2-2015,LS3D (LASER STUDIO 3 D) SA,12
8-141-268,ARTURO ROMERO HERNANDEZ,12
1722673-1-1623,CARIMEX  LLC,12
5-710-2492,TALLER DE LLANTAS LA EXCELENCIA / Eugenio Garcia Lozano,12
2512784-1-820590,BRIGATI INTERNATIONAL BUSINESS,12
1834350-1-710900,COUNTRY MAX S A,12
8-289-863,ABDIEL RAUL AYARZA GONZALEZ,12
8-760-707,EXALDO ANTONIO AGUILAR,12
71980-1-374151,RECIMETAL PANAMA S A,12
2578934-1-830676,"NATA, S.A.",12
4-220-672,RICARDO CASTILLO CASTILLO,12
2260512-1-783203,UNIVERSEL DE PANAMA S.A,12
1358145-1-28226,MINISTERIO BENDICION,12
N-14-708,ABED HAMID MOHAMED/ ALMACEN LA FAMA,12
1627931-1-671302,PRO DATA TECHNOLOGIES  CORP,12
1553987-1-657803,OPTICA 20 20  CORP,12
8-871-1257,CHRIS DELGADO,12
2389727-1-803382,JP AUTOS  IMPORT S.A.,12
447589138,EDUARDO JAVIER SOTO,12
6-36-639,Jose Felix Ducasa Espino,12
6-88-77,ALMACEN CIUDAD MODERNA,12
2294829-1-789127,AMG MONTAJE Y SOLUCION EMPRES,12
492539210,ALLYN MONTGOMERY LOPEZ,12
2460503-1-813430,TRILLO ARMADILLO BIKE SHOP,12
1484227-1-644373,ANDALMAR  S A,12
8-903-1806,ROSMERY RAQUEL APARICIO RODRIGUEZ,12
155663217-2-2018,"EASY TOUR SERVICES, S.A.",12
5458-162-67519,1,12
2-724-787,HENRY MU?OZ/ DISTRIBUIDORA ALE,12
155622026-2-2016,SUPPLY KINGS LATINOAMERICA S.A,12
128194711,YENIVER ARANGUIBEL/AUTOMOL CARS S.A.,12
2601610-1-833954,PACIFIC PMA SUPPLIERS S.A.,12
155666601-2-2018,GRUPO AJI ASIA S.A.,12
8-801-824,MARITZA KAM YAP/MINI SUPER LAS PALMAS,12
155671308-2-2018,HELVETIA FILIAL PANAMA S.A.,12
1705009551,SONIA SUSANA FLORES CUEVA,12
155659180-2-2017,"INVERSIONES WGW, S.A",12
PE-9-105,ANA YAU DE FU/CASA MAYORISTA ALEGRIA,12
223806390,WALTER ENRIQUE DIAZ HERRERA,12
168105608,DUBON ARCELIO GODOY FIGUEROA,12
223808849,GETRUDES ADAN CRISPIN OSORIO,12
168104091,HECTOR ANIBAL TAQUE CARRANZA,12
1396907-1-627100,GLOBAL BRANDING & LICENSING INC,12
8-440-557,LISBETH MURILLOR/REP COMERCIALES,12
PE-14-426,YI KONG CHOCK HOU,12
2493715-1-817966,EBANISTA S.A.,12
346914-1-417002,CONAGRO S A,12
8-762-2361,GRISELDA BATISTA,12
155614108-2-2015,DIMFE S.A,12
8-314-78,OLGA LOBATO DE PIMENTEL,12
994980-1-534997,LA CASA DE LAS FIESTA  S A,12
E-8-101195,HUANDI HOU/ELECTRONICA AUDIOMAX,12
E-8-128674,LUZ EDITH VELASQUEZ OLARTE DE TEJADA,12
155591825-1-2015,HUAMANGATEX CORP,12
1225724-1-587455,PROTEINAS SELECTAS  S A  (PROSESA),12
2683207-1-845424,"HOGAR Y MAS/ INVERSIONES YUSUF, S. A.",12
350468-1-417467,ADIMAR SHIPPING INC,12
1304405-1-606492,SPORTS & HEALTH CORP,11
190806672,ROSA AJPUAC,11
238487-1-401208,INVERSIONES MAZU S.A,11
3-455-223,BAYSHORE TECHNOLOGIES,11
58544-33-342048,CORPORACION CATTAN S A,11
8-846-1854,MELISA LUO HOU,11
934017-1-522272,SERVICIO INDUSTRIAL DE MONTACARGAS  S A,11
2602341-1-834074,"CLEAN AQUA PANAMA, S.A.",11
57078-12-337733,THE ENGLISH LANGUAGE CENTER INC,11
1039764-1-544753,AGRO VETERINARIA ROMO S A,11
1963715-1-734060,MAXCESS INTERNATIONAL INC,11
655-128-131705,CANON PANAMA S.A.,11
155606219-2-2015,"GREEN HOUSE SANTIAGO, SA",11
1639169-1-673402,CONCRETOS DE VERAGUAS  S  A,11
N-21-298,LARA HUDY,11
44709-76-296870,UNIGREEN MARINE S A,11
155611261-2-2015,INDUSTRIAS CENTRO AMERICANA Y DEL CARIBE,11
8-863-1848,LUZMILA WANG CHEN,11
16791-59-158717,LIVINGSTON S S A,11
155674206-2-2018,"DISTRIBUIDORA RS, S.A.",11
436024702,GERHARD RICHARD SCHULZE,11
4-116-1298,ALEJANDRA YANGUEZ BATISTA /COCINA Y MAS,11
8-822-205,MARIA CASTILLO,11
1469-147-29259,TRANSBAL S A,11
474309-1-434752,Maquinarias centenarios s.a,11
046358989,MARIA CHACON,11
155601864-2-2015,PROJECT TREE LOGISTICS S.A,11
8-804-1988,CARLOS CHERY,11
155627160-2-2016,DALILEGO DISTRIBUTIONS S.A,11
1507714-1-649016,ALBAID CORP,11
8-764-876,DIEGO VALLARINO,11
8-441-418,ENRIQUE YAU TANG/ELECT. DRAGON,11
53899-76-329400,JCA Y COMPA,11
2065257-1-750487,OFFICE CENTER PANAMA S A,11
2656785-1-841562,ALUMINIGLASS S.A.,11
1003297353,PATRICIO PICUASI,11
N-20-438,GUO QIN LAU LIU,11
2553837-1-826688,"TSUNAMI PRODUCCIONES, SA",11
15560169522015,PASKAS,11
E-8-81615,WEIXIONG QIU,11
2691874-1-846931,"MAG CONSTRUCTION, SA",11
9-143-103,DISTRIBUIDORA ORGANICA,11
EMBAJADADELOSEMIRATOSARABESUNI,EMBAJADA DE LOS EMIRATOS ARABES UNIDOS,11
E-8-111694,DIEGO GALLARDO,11
16900-66-159650,CARVAJAL EDUCACION S A,11
155610103-2-2015,GRUP MEL INTERNACIONAL,11
290-7-1168,CENTRO CULTURAL CHINO PANAME?O,11
155666030-2-2018,MAX MOVIL CENTER S.A,11
155672676-2-2018,COMERCIALIZADORA VALENTINA S.A,11
8-324-741,JOSE LENIN CASTILLO,11
2579361-1-830770,APRA INGENIERIA S.A,11
8-762-654,MICHELLE OLCESE,11
8-787-1791,MARK CHRISTIAN VANDER WERF LOBATO,11
155597485-2-2015,PEEK A BOO CORP,11
3-72-1852,BETHSABETH SITTON F. DE NEUMAN,11
15563306-1-22016,"GRUPO BLS INVESTMENT, S.A.",11
13CH05980,VLADIMIR SUAREZ,11
E-8-83713,XIAO HUA ZHANG/RESTAURANTE YENY OJO DE AGUA,11
1650776-1-675603,METRO WATCH  S  A,11
4-222-596,CECILIO VERGARA,11
A0457823,DEICY TATIANA VELEZ HENAO,11
4-706-1109,Claudio Jimenez,11
1598211-1-665835,SUMINISTROS CORPORATIVOS  S A,11
8-838-1279,RAIMUNDO WU LEUNG/AVA MOTOR,11
AR912262,DIEGO DONNEYS MONTES,11
PNUD,PROGRAMA DE LAS NACIONES UNIDAS,11
057138255,ISMAG SUAREZ,11
2443403-1-811189,INNOVATIO TSEM CORP,11
AT884481,RAMON DIAZ,11
1676135-1-1598,KAPSCH TRAFFICCOM TRANSPORTA,11
21407-142-192388,HIELO CRISTAL S A,11
2380079-1-802001,KONA ICE PANAMA S.A.,11
E-8104913,HAYDER KABAR,11
2267903-1-784640,GALAICO SYSTEM S A,11
1315906-1-609471,BM CARGO PANAMA CORP,11
8-510-452,JOTGE CHUNG/ ALM. LA ESPERANZA,11
8-224-1449,LINDA HOMSANY GATENO,11
1991070-1-738695,EQUIPOS VADISA  S A,11
2140873-1-763752,"PID, S. A.",11
10813-439-575,"CELMEC, S.A.",11
8-487-449,FRANCISCO MANUEL (MEDIDENTAL),11
STAND#A560,RIW AUTOMOTIVE,11
3772372,GELIN RAYNALD,11
64122-9-356912,DISTRIBUIDORA ROAL S A,11
8-299-810,IRENE ARIAS DE FERRER,11
8-789-2158,GUILLERMO SERRANO,11
PE-9-18784,GREEN PANAMA RECYCLING / SERGIO FERNANDEZ,11
15563080-2-2017,"TECHOMEX, S.A.",11
8-718-652,RAUL HERRERA,11
754084-1-480868,WELLMED CARE CENTER  INC,11
N-20-2199,WEI QIU / AUTO INVERSIONES LUO,11
15566625-2-2018,DISTRIBUIDORA BANI,11
PA0377316,HEIDI HENRIQUEZ,11
4896981,ROSARIO DEL PILAR ROMERO,11
9-705-2442,JOSE DAVID ROMERO RODRIGUEZ /NOVEDADES DAVID,11
8-835-1345,GABRIELA ESPLA CALVO,11
N-20-36,JIAN RONGMO (JIGGING MASTER PMA ),11
25316-1-367459,HACIENDA MONTPELLIER S A,11
2287909-1-788079,INVERSIONES JS PANAMA S.A.,11
N-21-368,SING YAN NG,11
155628354-2-2016,GRUPO ARZUZA S.A,11
8-847-225,BETTY SASSON DE CHABOT,11
E-8-119200,RICARDO FERNANDEZ,11
APT136028,AMALIA JOSEFINA HERRERA GOMEZ,11
GM622785,PIERRE CAOUETTE,11
AR045905,LIBIA ALMEIDA OVIEDIO,11
8-412-963,ANDRES GONZALEZ,11
TR8632028,TAKASHI YAGI,11
7-701-1621,MANUEL SALVADOR GONZALEZ CAMPOS,11
155630122-2-2016,MSOSA,11
155634919-2-2016,"BOUTIQUE VERSATIL, S.A.",11
E-8-127165,CARLOS EDUARDO CARBALLO BOSCHETTI,11
8-257-651,SERVICIOS INTEGRALES JC,11
E-8-64867,LUO HUA QING,11
9-705-2442,jose david romero rodriguez/novedades david,11
STAND#434B,GUANGZHOU FLYWHEEL INTERNATIONAL,11
6-89-1039,ALEICI LEONILA ATENCIO C/LAYLA MAYAH SA,11
1534677-1-1243,PMMC S DE RL,11
4-118-2767,VICENTE MORENO RIVERA/ INMOBILIARIA VIMORI S.A.,11
2045549-1-747117,GRUPO Y J K,11
1188395-1-579623,AQUATEC LABORATORIOS ANALITICOS  S A,11
2611883-1-835491,PRODUCTOS COLPAN SA,11
E-8-103219,EXPO ARTE GALERIA,11
1971189-1-735432,SERVITEST PANAMA  S A,11
155605280-2-2015,GRUPO NIKA S.A.,11
6-73-881,JOSE MANUEL RAJOY,11
155612635-2-2015,"IDEAL CONDITIONS, SA",11
155612615-2-2015,"FIRE SAFE INTERNATIONAL, S.A.",11
9-738-581,JAVIER NIVALDO VARGAS CALLENDER,11
8-486-153,INDHIRA ITZEL CALLENDER CORDOBA,11
8-313-562,JORGE ATHANASIADIS,11
580089-1-448039,PANAMA SPORT MAGAZINE S A,11
732892-1-475774,GRUPO FRASA CM S A,11
2575708-1-830116,EXPRESI,11
N-19-1614,MAN YIN/AUTO REPUESTOS EFICENTRO,11
506207653,ETHAN DANE SHIELDS,11
155597412-2-2015,"ARCO BUSINESS GROUP, SA",11
AV429853,ANDRES ASTORQUIZA,11
8-NT-2-700479,CONSORCIO ASOCSA,11
AQ835765,ESTEBAN ARANGO PALACIO,11
801190358,RAFLY RODRIGUEZ,11
1735399-1-693298,TRANSPORTES AMBIENTALES VERDES S A,11
2176290-1-769614,OYD PANAMA S A,11
4-82-773,FABRICA LA CHIRICANITA/AURORA DE GOFF,11
1471674-1-1495,CROWLEY LATIN AMERICA SERVICES  LLC,11
1350767-1-617269,PANAMA FLYER CORP,11
155585846-2-2014,PIPELINE OPTICS INC,11
155628438-2-2016,OPTICA SAN MARTIN S.A.,11
2413577-1-806743,BOLT IMPRESIONES S.A,11
40550-25-279973,J J & F INTERNATIONAL INC,11
2249479-1-781242,ROLLAM PAPER S.A.,11
1761067-1-698269,KRIPTON SECURITY  S A,11
4-200-141,MAGALIS DE SALOMON/ALM.Y DIST.EL AUDAZ,11
1636454-1-672903,MACKAY MARINE   PANAMA INC,11
2100308-1-756482,IMPORTACIONES PORTUGUESAS S A,11
461434-1-433003,M SH HOLDING S A,11
155615204-2-2015,"AQUA FOOD PANAMA, S.A.",11
155651678-2-2017,"COYO PANAMA, S.A.",11
6-57-1017,PABLO ALBERTO ALVARADO DIAZ,11
155667666-2-2018,"BAMBOO WORKS, INC",11
9-213-482,CARLOS TEJEDOR/MULTI PARTES GRACE,11
AN475232,FRANK ALEXANDRA ROJAS AMADO,11
8-NT-2-1174,(COPEG) COMISION  PANAMA-ESTADOS UNIDOS PARA LA ERRADICACION Y PREVENCION DEL GUSANO BARRENADOR DEL GANADO,11
3-111-709,MILITZA CAMARGO MENDOZA,11
8-222-2561,REINALDO FRANCO,11
8-511-147,DANIEL RAWLINS,11
2428574-1-808836,CHINO LATINOAMERICA S.A.,11
N-19-19-12,SAMIR MOHAMED / MUEBLERIA WEST HOUSE,11
067892314,LEONOR FERNANDEZ ALVAREZ,11
238339-1-401185,"VALOR DE CENTROAMERICA,S.A.",11
155594102-2-2015,AUDIO MIX,11
1089009-1-556583,MAX AUDIO  S A,11
8-877-1517,MULTICUEROS ACRAF/KATIUSKA LISBETH PINTO DE CUADROS,11
8-487-449,FRANCISCO  MANUEL  (MEDIDENTAL),11
2554476-1-826746,ITV PANAM,11
PE-2-598,GEORGE NOVEY,11
876960-1-510282,KNOWLEDGE GROUP  INC,11
1200188-1-581890,ANASAC INTERNATIONAL CORPORATION,11
TL0202814,HIKARU SAITO,11
155630274-2-2016,GEOTECNICA SOLUCIONES S.A.,11
8-470-897,GABRIEL RODRIGFUEZ( HERITAGE PLUS),11
N-20-2178,FLOR CA?ON /VALFLOR,11
9-707-500,YARINETH HERNANDEZ AVECILLA,11
155636521-2-2016,KAM SALES CORP.,11
E-8-124189,PEDRO JOSE GUEVARA,11
155620439-2-2016,"CASA BELLA Y LAMPARAS, S.A.",11
8-851-1425,WENDY FRANCO / MAX SPEED CAR AUDIO,11
N192175,ISAAC COHEN,11
2369743-1-800525,OPERADORA DE SER. ALTERNOS S.A,11
155633525-2-2016,"E WONG INVESTMENT, S.A",11
STAND#A512,"DAESHIN URETHANE CO., LTD",11
8-316-342,ASESORIA Y SERVICIOS TECNICOS,11
4-101-1936,JORGE ROBERTO ORILLAC PEREZ,11
52858-51-326063,DETUR PANAMA SA,11
155668188-2-2018,DISTRIBUIDORA VIMASA S.A.,11
3-711-2307,JAIME TSANG NG (AMP. JACQUELINE?S STORE),11
155647399-2-2017,"MEDIMED, S.A.",11
N-20-2199,WEI QIU /AUTO INVERSIONES LUO,11
741449-1-477915,CONTROLES INTELIGENTES  S A,11
3-124-398,MARIO LOZANO,11
1700356-1-686340,CANAL IMPORT & EXPORT  INC,11
8-395-436,EUSTACIO GARCIA DE PAREDES,11
PAD894223,ANTONIO MANUEL LEON FERNANDEZ,11
1987008-1-738027,TECBARRAGEM PANAMA  S A,11
9-60-876,JULIO SPIEGEL R,11
E-8-172199,GLADYS ESMERALDA BRAVO SULBARAN,11
155600446-2-2015,FASHION GROUP 100 % CHIP CORP,11
8-742-957,ALBERTO ESHKENAZI COHEN,11
